States,20,30,40,50,60,70,80,90
Alabama,24261,90443,154613,123715,148249,329970,376705,446839
Alaska,7069,41537,45287,96240,111479,175899,105494,108514
Arizona,16964,126790,196132,279699,201172,225396,144605,27648
Arkansas,12021,26306,56320,111469,257063,96753,66636,130910
California,15731,48021,76562,151618,286817,274191,177568,55451
Colorado,25629,71747,131400,174385,183925,99673,61415,21626
Connecticut,18296,30770,90362,283136,284742,137308,232963,318429
Delaware,23102,29638,8706,7241,42165,64210,27077,500
District of Columbia,10096,31393,33181,26925,47665,48790,24749,149833
Florida,14859,54514,82180,110376,131265,131056,131585,65065
Georgia,22288,32769,38030,89561,100172,40486,36128,94000
Hawaii,8452,26851,97561,77437,236580,60014,16967,500
Idaho,9365,32520,56149,106133,156845,119933,97484,153476
Illinois,12026,37110,38486,60368,85243,45874,41330,13229
Indiana,18413,40758,86246,136716,176318,235655,159751,109861
Iowa,2994,20800,29432,80027,219367,134081,34062,500
Kansas,8897,33358,113652,110477,100246,60762,47579,26688
Kentucky,9600,17347,36688,35520,71748,13937,9840,36168
Louisiana,11175,37086,35197,63288,100871,74630,33855,500
Maine,12829,28389,58361,117648,199969,113781,95155,150410
Maryland,26228,117872,163731,240570,502261,361575,368088,26381
Massachusetts,6898,22997,55533,96948,137666,101992,64613,160761
Michigan,13082,46603,143416,192240,284839,183225,105718,28484
Minnesota,13605,16045,20754,24859,25733,37090,51078,91416
Mississippi,11572,45126,57031,139262,205865,141340,90417,93632
Missouri,12051,8395,39656,22646,1099351,864139,1406764,1037667
Montana,10449,44118,116780,167803,187405,156073,92492,317446
Nebraska,25547,66791,185164,264904,680296,461814,120464,42422
Nevada,6065,92777,86402,135330,1181821,272886,198678,54000
New Hampshire,23463,108801,141227,174430,416077,229991,159004,123333
New Jersey,103511,46658,68015,112543,100722,106552,89667,500
New Mexico,20094,62472,137833,189400,220861,131922,100214,41601
New York,11137,31268,43680,49324,85252,117493,85698,51805
North Carolina,22921,61021,139793,144838,178214,174940,463000,500
North Dakota,10113,20626,59056,102689,144570,107911,87022,140388
Ohio,8855,23979,29179,19825,47171,46626,9840,10111
Oklahoma,5346,45110,101682,96409,114522,183344,271909,105473
Oregon,10866,28889,51540,80236,141618,62304,50992,27734
Pennsylvania,1745,51075,231699,221785,233156,101238,9840,500
Rhode Island,12324,20432,33747,41393,79691,64304,64742,30840
South Carolina,32182,97174,117476,209250,206618,751559,98788,47750
South Dakota,10216,33878,50060,78529,88206,54171,46684,17667
Tennessee,8263,35145,65286,94398,149718,116020,64863,115432
Texas,13003,31727,80821,117870,180804,216144,206197,148775
Utah,3260,56926,87485,182195,318320,206364,58526,500
Vermont,21625,46728,74165,92911,117496,75821,115332,41949
Virginia,32204,100513,388503,541312,768954,255003,171646,167469
Washington,6842,30186,12497,15265,44862,50582,9840,500
West Virginia,14480,33930,65175,98318,119317,73126,119580,34605
Wisconsin,5038,12902,20463,21731,71249,56725,9840,500
Wyoming,79485,79604,69002,153567,152090,149156,107800,209794